"id","nome","cognome","posizione","stipendio"
0,"Anna","Bianchi","Ricercatore","45500.3"
1,"Mario","Rossi","Ricercatore","35500"
2,"Barbara","Burso","Ricercatore","40442.5"
3,"Gino","Spada","Ricercatore","35870.9"
4,"Aurora","Bianchi","Professore Associato","43500.5"
5,"Guido","Spensierato","Professore Associato","38221"
6,"Consolata","Ferrari","Professore Associato","29200.1"
7,"Andrea","Verona","Professore Associato","39002.05"
8,"Asia","Giordano","Professore Ordinario","45200.1"
9,"Carlo","Zante","Professore Ordinario","40230"
10,"Ginevra","Riva","Professore Ordinario","39955"
11,"Davide","Quadro","Professore Ordinario","36922.1"
12,"Dario","Basile","Ricercatore","42566"
13,"Silvia","Donati","Professore Ordinario","38005"
14,"Fiorella","Martino","Professore Associato","35544.5"
15,"Leonardo","Vitali","Professore Ordinario","38779.8"
16,"Paolo","Valentini","Professore Associato","39200"
17,"Emilio","Greco","Professore Associato","42020"
18,"Giulia","Costa","Ricercatore","40220"
19,"Elisa","Longo","Professore Associato","39001"
20,"Carla","Martinelli","Ricercatore","42030.2"
